commit_hash,Name,file_la,file_ld,file_lt,file_age,file_ddev,file_nuc,own,minor,file_ndev,file_ncomm,file_adev,file_nadev,file_avg_nddev,file_avg_nadev,file_avg_ncomm,file_ns,file_exp,file_sexp,file_rexp,file_nd,file_sctr
008e7d31481ea0d7d11858e33e637de95380bf1c,org.iq80.cli,5.5,8.0,97.5,0.3714351851851852,1.0,3.5,1.0,0.5,29.0,89.0,3.5,89.0,1.6111111111111112,4.944444444444445,4.944444444444445,1.0,6.5,6.5,1.4572541465118494,1.0,-0.2416263778234456
008e7d31481ea0d7d11858e33e637de95380bf1c,org.iq80.cli.command,3.0,2.0,73.0,0.5724305555555556,1.0,3.0,0.9625,1.0,44.0,96.0,3.0,96.0,2.4444444444444446,5.333333333333333,5.333333333333333,1.0,18.0,18.0,1.0873740458632841,1.0,-0.03684865698546644
008e7d31481ea0d7d11858e33e637de95380bf1c,org.iq80.cli.model,12.5,0.5,139.5,0.47193287037037035,1.0,2.5,0.8631702495675809,0.0,25.0,62.0,2.5,62.0,1.3888888888888888,3.444444444444444,3.444444444444444,1.0,11.5,11.5,1.1144344887619266,1.0,-0.07631042641571964
025eb4bb947e7b6852b4d9e07586215e3141edd3,org.iq80.cli,2.0,2.0,278.0,0.0013194444444444445,1.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,95.0,83.0,758.8947368421052,1.0,0.0
0434ba86793d9c6bebb7d079f6f92e25fe8b2315,io.airlift.command,1.0,2.0,291.0,30.665891203703705,4.0,3.0,0.9783549783549784,1.0,56.0,42.0,3.0,42.0,8.0,6.0,6.0,1.0,3.0,3.0,1.0126691741704186,1.0,-0.20645957330804274
0434ba86793d9c6bebb7d079f6f92e25fe8b2315,io.airlift.command.command,2.0,4.0,74.0,30.665891203703705,4.0,3.0,0.9746835443037974,1.0,56.0,50.0,3.0,50.0,8.0,7.142857142857142,7.142857142857142,1.0,7.0,7.0,1.0052871940793706,1.0,-0.3558065608123068
11a9860acfde392c933aebe36f42cf1084a1c8a7,org.iq80.cli,30.5,1.5,153.5,0.059201388888888894,1.0,4.5,1.0,0.0,4.5,20.5,4.5,20.5,1.5,6.833333333333332,6.833333333333332,1.0,122.5,110.5,5.551926900255131,1.0,-0.411239584205479
120d04d32891bc75e9cfd1e3fd839855a4354707,io.airlift.command,0.0,8.5,396.5,194.62770254629632,4.0,4.5,0.984375,1.5,0.0,0.0,4.5,0.0,0.0,0.0,0.0,1.0,218.5,190.5,1.002569085697647,1.0,-0.49875127318455764
125c772eed1dbd94b01568a8a5d6128b64822317,org.iq80.cli,10.0,1.5,214.5,0.09785879629629628,2.0,4.0,0.9173640167364017,0.0,2.0,3.5,4.0,3.5,2.0,3.5,3.5,1.0,19.5,19.5,8.664104080425785,1.0,-0.46605578380833734
16d88423de3161ffcb33b0e10b984fe91ba6c709,org.iq80.cli,1.0,1.0,104.0,0.0008796296296296297,1.0,4.0,1.0,0.0,2.0,8.0,4.0,8.0,1.0,4.0,4.0,1.0,126.0,114.0,20.748571428571427,1.0,-0.5020752530981103
183354c8a1c3ab245d2052b3ea22159631557ee1,io.airlift.airline,13.0,1.0,33.0,825.8660532407408,6.0,4.0,0.9722222222222222,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0002535646345234,1.0,-0.2880333601546272
19499cb6a45d8f4e91d4cdb31c28007abbe2ae6e,org.iq80.cli,5.0,0.0,104.0,161.8781134259259,1.0,3.0,0.975206611570248,0.0,4.0,9.0,3.0,9.0,0.8,1.8,1.8,1.0,9.0,9.0,1.0030867468025195,1.0,-0.2333598503415189
19499cb6a45d8f4e91d4cdb31c28007abbe2ae6e,org.iq80.cli.args,32.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,1.0015469534756607,1.0,-0.5306007841676936
19499cb6a45d8f4e91d4cdb31c28007abbe2ae6e,org.iq80.cli.model,5.0,1.0,186.5,161.22396412037034,2.0,5.5,0.8885823135534519,1.0,10.0,23.0,5.5,23.0,2.0,4.6,4.6,1.0,10.5,10.5,1.001803405427867,1.0,-0.24957634076658702
1d1cc10d21884653504fe479f110bcd465163e3b,io.airlift.airline,4.0,9.0,106.0,157.98636574074075,5.0,3.0,0.9464285714285714,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,
1f269390212c18640b31b7e75ed758e9a36139f5,org.iq80.cli,14.0,19.0,120.0,1.0946064814814815,1.0,2.0,1.0,0.0,21.0,40.0,2.0,40.0,0.6363636363636364,1.2121212121212122,1.2121212121212122,1.0,72.0,60.0,1.0282194229977193,1.0,-0.09895295901805913
1f269390212c18640b31b7e75ed758e9a36139f5,org.iq80.cli.command,3.0,2.0,43.0,4.281157407407409,1.0,2.0,1.0,0.0,21.0,50.5,2.0,50.5,0.6363636363636364,1.5303030303030303,1.5303030303030303,1.0,91.5,79.5,1.0139168323401466,1.0,-0.016379413245457088
