Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,commit_hash,Bugs
Public Abstract Class,org.ahocorasick.trie.Token,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,,0.0,0.0,,,,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,,17,6,11,6,2,0,,,,5,8,6,2,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,2,2,2,2,e8b5be049773e1ed32185ef3fb4e59b63dd80536,0
Public Class,org.ahocorasick.trie.TrieConfig,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,6.0,3.0,6.0,6.0,0.0,0.0,0.0,6.0,,32,9,23,10,9,0,,,,9,16,10,6,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,66.0,66.0,0.0,6,6,6,6,e8b5be049773e1ed32185ef3fb4e59b63dd80536,0
Public Class,org.ahocorasick.interval.Interval,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,,0.0,0.0,,,,10.0,2.0,10.0,10.0,0.0,0.0,0.0,10.0,,62,12,50,20,20,0,,,,18,31,16,15,,,,,,3.0,3.0,3.0,1.0,,1.0,1,,9.0,9.0,0.0,13,13,16,10,7431c74a7f4dd177cdf22090391084f4337da096,0
Public Class,org.ahocorasick.interval.IntervalNode,3.0,3.0,3.0,1.0,11.0,0.0,10.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,8.0,4.0,8.0,8.0,0.0,0.0,5.0,3.0,,113,19,94,22,59,3,,,,39,70,26,44,,,,,,6.0,6.0,6.0,1.0,,1.0,3,,71.0,53.0,0.03,26,25,28,8,7431c74a7f4dd177cdf22090391084f4337da096,0
Public Class,org.ahocorasick.interval.IntervalTest,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,7.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,,47,8,39,18,16,0,,,,16,24,11,13,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,7,7,7,7,7431c74a7f4dd177cdf22090391084f4337da096,0
Public Class,org.ahocorasick.interval.IntervalTree,2.0,2.0,2.0,1.0,11.0,2.0,7.0,1.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,,41,12,24,6,13,5,,,,10,19,8,11,,,,,,4.0,4.0,4.0,3.0,,1.0,2,,33.0,0.0,0.21,6,6,6,5,7431c74a7f4dd177cdf22090391084f4337da096,0
Public Class,org.ahocorasick.interval.IntervalTreeTest,1.0,1.0,1.0,1.0,11.0,0.0,10.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,,41,5,36,12,26,0,,,,26,30,10,20,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,3,3,3,3,7431c74a7f4dd177cdf22090391084f4337da096,0
Public Class,org.ahocorasick.interval.IntervalableComparatorByPosition,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,8,2,6,3,1,0,,,,1,3,2,1,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,1,1,1,1,7431c74a7f4dd177cdf22090391084f4337da096,0
Public Class,org.ahocorasick.interval.IntervalableComparatorByPositionTest,1.0,1.0,1.0,1.0,10.0,0.0,10.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,15,2,13,4,8,0,,,,8,10,3,7,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,1,1,1,1,7431c74a7f4dd177cdf22090391084f4337da096,0
Public Class,org.ahocorasick.interval.IntervalableComparatorBySize,2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,12,2,10,4,4,0,,,,3,6,3,3,,,,,,2.0,2.0,2.0,1.0,,1.0,1,,0.0,0.0,0.0,2,2,2,1,7431c74a7f4dd177cdf22090391084f4337da096,0
