Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,commit_hash,Bugs
Public Class,org.iq80.cli.args.ArgsDefault,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,,0.0,0.0,,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,35,5,13,11,3,17,,,,5,6,6,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,1.31,0,0,0,0,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Public Class,org.iq80.cli.args.ArgsEnum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,34,3,9,5,1,22,,,,1,3,3,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,2.44,0,0,0,0,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Public Class,org.iq80.cli.args.ArgsInherited,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,24,2,5,3,1,17,,,,1,2,2,0,,,,,,0.0,0.0,0.0,0.0,,2.0,0,,0.0,0.0,3.4,0,0,0,0,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Public Class,org.iq80.cli.args.ArgsMultipleUnparsed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,30,1,7,5,0,22,,,,2,3,3,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,3.14,0,0,0,0,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Public Class,org.iq80.cli.args.ArgsOutOfMemory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,9,1,8,6,0,1,,,,2,3,3,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,0.12,0,0,0,0,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Public Class,org.iq80.cli.args.ArgsPrivate,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,27,1,9,4,2,17,,,,2,4,3,1,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,1.89,1,1,1,1,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Public Class,org.iq80.cli.args.ArgsRequired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,22,0,5,3,1,17,,,,1,2,2,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,3.4,0,0,0,0,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Public Class,org.iq80.cli.args.Arity1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,0,5,3,0,0,,,,1,2,2,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,0.0,0,0,0,0,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Public Class,org.iq80.cli.args.CommandLineArgs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,,113,28,65,63,3,20,,,,27,28,28,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,0.31,0,0,0,0,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Public Class,org.iq80.cli.command.CommandAdd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,29,3,9,7,1,17,,,,3,4,4,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,1.89,0,0,0,0,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Public Class,org.iq80.cli.command.CommandCommit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,31,3,11,9,1,17,,,,4,5,5,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,1.55,0,0,0,0,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
