Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,commit_hash,Bugs
Anonymous Class,com.aurelhubert.ahbottomnavigation.AHBottomNavigation.updateItems.(for_loop_3).(Anon_5),1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,4.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,,19,3,16,0,12,0,,,,3,7,4,3,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,4,4,4,4,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.AHBottomNavigation.updateSmallItems.(for_loop_4).(Anon_6),1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,4.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,,19,3,16,0,12,0,,,,3,7,4,3,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,4,4,4,4,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Public Class,com.aurelhubert.ahbottomnavigation.AHBottomNavigationAdapter,2.0,2.0,2.0,1.0,13.0,0.0,7.0,5.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,6.0,2.0,6.0,6.0,0.0,0.0,0.0,6.0,,91,8,45,13,25,38,,,,23,36,15,21,,,,,,5.0,5.0,7.0,3.0,,1.0,3,,50.0,33.0,0.84,12,12,14,8,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Public Generic Class,com.aurelhubert.ahbottomnavigation.AHBottomNavigationBehavior,1.0,1.0,2.0,1.0,10.0,0.0,8.0,2.0,1.0,2.0,2.0,0.0,,1.0,2.0,,,,25.0,15.0,26.0,42.0,0.0,5.0,1.0,20.0,,336,36,242,63,143,58,,,,106,166,56,110,,,,,,6.0,6.0,7.0,1.0,,3.0,2,,94.0,89.0,0.24,51,51,59,26,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.AHBottomNavigationBehavior.ensureOrCancelAnimator.(Anon_1),4.0,4.0,6.0,1.0,20.0,0.0,17.0,3.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,22,0,19,2,15,3,,,,9,13,3,10,,,,,,4.0,4.0,6.0,1.0,,2.0,1,,0.0,0.0,0.16,4,4,6,1,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.AHBottomNavigationBehavior.ensureOrCancelObjectAnimation.(Anon_2),4.0,4.0,6.0,1.0,19.0,0.0,17.0,2.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,21,0,19,2,15,2,,,,9,13,3,10,,,,,,4.0,4.0,6.0,1.0,,2.0,1,,0.0,0.0,0.11,4,4,6,1,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.AHBottomNavigationBehavior.updateSnackbar.(Anon_3),3.0,3.0,4.0,1.0,15.0,0.0,14.0,1.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,17,0,16,1,13,1,,,,6,9,2,7,,,,,,3.0,3.0,4.0,1.0,,2.0,1,,0.0,0.0,0.06,3,3,4,1,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Public Class,com.aurelhubert.ahbottomnavigation.AHBottomNavigationItem,1.0,1.0,1.0,1.0,7.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,14.0,6.0,14.0,14.0,0.0,0.0,0.0,14.0,,135,16,84,28,42,35,,,,38,57,21,36,,,,,,3.0,3.0,3.0,3.0,,1.0,2,,63.0,63.0,0.42,18,18,18,16,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Public Class,com.aurelhubert.ahbottomnavigation.AHBottomNavigationViewPager,1.0,1.0,1.0,1.0,6.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,,37,7,23,8,9,7,,,,8,15,6,9,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.3,6,6,6,4,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Public Class,com.aurelhubert.ahbottomnavigation.AHHelper,1.0,1.0,1.0,1.0,16.0,0.0,12.0,4.0,1.0,0.0,0.0,0.0,,13.0,0.0,,,,0.0,0.0,13.0,13.0,0.0,0.0,0.0,13.0,,237,14,167,45,119,56,,,,82,113,50,63,,,,,,3.0,3.0,3.0,3.0,,1.0,2,,0.0,0.0,0.34,18,18,18,15,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.AHHelper.updateAlpha.(Anon_5),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,6,0,6,1,5,0,,,,2,3,2,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.AHHelper.updateBottomMargin.(Anon_2),2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,8,0,,,,4,6,3,3,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.AHHelper.updateDrawableColor.(Anon_8),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,6,0,6,0,5,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.AHHelper.updateLeftMargin.(Anon_3),2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,8,0,,,,4,6,3,3,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.AHHelper.updateTextColor.(Anon_6),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.AHHelper.updateTextSize.(Anon_4),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,6,0,6,1,5,0,,,,2,3,2,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.AHHelper.updateTopMargin.(Anon_1),2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,2,8,0,,,,4,6,3,3,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.AHHelper.updateViewBackgroundColor.(Anon_7),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.AHHelper.updateWidth.(Anon_9),1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,7,0,7,1,6,0,,,,3,4,2,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Public Abstract Generic Class,com.aurelhubert.ahbottomnavigation.VerticalScrollingBehavior,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,,0.0,0.0,,,,16.0,4.0,16.0,16.0,0.0,0.0,1.0,15.0,,130,24,87,40,38,19,,,,37,56,25,31,,,,,,3.0,3.0,5.0,1.0,,2.0,1,,86.0,86.0,0.22,18,18,22,13,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Public Class,com.aurelhubert.ahbottomnavigation.demo.DemoActivity,1.0,1.0,1.0,1.0,27.0,4.0,21.0,2.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,8.0,9.0,8.0,8.0,0.0,1.0,1.0,6.0,,247,43,180,29,133,24,,,,73,103,36,67,,,,,,4.0,4.0,4.0,1.0,,2.0,2,,73.0,61.0,0.13,13,13,13,8,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.demo.DemoActivity.initUI.(Anon_1),6.0,6.0,6.0,1.0,92.0,19.0,73.0,0.0,2.0,4.0,4.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,94,19,75,0,61,0,,,,18,32,9,23,,,,,,6.0,6.0,6.0,1.0,,1.0,0,,0.0,0.0,0.0,6,6,6,1,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.demo.DemoActivity.initUI.(Anon_1).onTabSelected.(Anon_2),1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,4.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,,22,6,16,0,12,0,,,,1,5,4,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,4,4,4,4,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.demo.DemoActivity.initUI.(Anon_1).onTabSelected.(Anon_3),1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,4.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,,20,5,15,0,11,0,,,,2,6,4,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,4,4,4,4,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.demo.DemoActivity.initUI.(Anon_4),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,4,0,4,0,3,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,1,1,1,1,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.demo.DemoActivity.initUI.(Anon_5),1.0,1.0,1.0,1.0,11.0,0.0,10.0,1.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,13,0,12,2,11,1,,,,3,4,2,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.08,1,1,1,1,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Public Class,com.aurelhubert.ahbottomnavigation.demo.DemoAdapter,1.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,,39,8,28,14,10,3,,,,11,18,11,7,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,25.0,25.0,0.11,4,4,4,4,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Public Static Class,com.aurelhubert.ahbottomnavigation.demo.DemoAdapter.ViewHolder,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,7,0,7,3,2,0,,,,3,5,3,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Public Class,com.aurelhubert.ahbottomnavigation.demo.DemoFragment,1.0,1.0,1.0,1.0,15.0,0.0,11.0,2.0,1.0,2.0,2.0,0.0,,1.0,0.0,,,,6.0,3.0,7.0,7.0,0.0,2.0,0.0,5.0,,124,14,88,26,58,22,,,,45,62,29,33,,,,,,2.0,2.0,3.0,1.0,,2.0,1,,71.0,57.0,0.25,12,12,13,7,10468b72bda228df2710d82c8ff2fe46d35fe586,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.demo.DemoFragment.initDemoSettings.(Anon_1),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,10468b72bda228df2710d82c8ff2fe46d35fe586,0
